question_id,question_text,decomposition,split
NLVR2_train_train-323-3-0,If an image shows just one young male customer with upswept hair.,return customers ;return #1 that are young ;return #2 that are male ;return hair of #3 ;return #3 where  #4 is upswept ;return images of #5 ;return number of  #5 for each  #6 ;return #6 where  #7 is equal to  one ;return number of  #8 ;return if  #9 is equal to  one,train
CLEVR_train_14318,What is the shape represented by the most objects?,return objects ;return shapes of #1 ;return the  number of  #1 for each #2 ;return #2 where #3 is  the  highest,train
CLEVR_train_9102,by how many more are the cubical shapes more than the cylindrical shapes?,return cubical shapes ;return cylindrical shapes ;return number of #1 ;return number of #2 ;return difference of #3 and  #4,train
SPIDER_train_6041,Show all student ids and the number of hours played.,"return students ;return ids of #1 ;return hours played of #1 ;return number of  #3 for each #1 ;return #2 ,  #4",train
DROP_train_nfl_2246_39f698c1-2ef7-422c-90c2-1407a24f8e81,How many times did the Patriots score during the first quarter?,return the  Patriots ;return scores of #1 ;return #2 in  the  first quarter ;return number of  #3,train
DROP_train_history_871_b1f94162-22bd-4bdc-8517-ed4bd7abe69f,How many years after the founding of the Daughters of St. Crispoin were women admitted into the Knights?,return the  founding of the   Daughters of  St. Crispoin ;return women admitted into the  Knights ;return when  was  #1 ;return when  was  #2 ;return difference of #4 and  #3 in  years,train
NLVR2_train_train-4818-2-1,"If one of the images shows exactly one zebra, while the other image shows exactly two which have a brown tint to their coloring.",return one image ;return zebras in  #1 ;return number of  #2 ;return if  #3 is equal to  one ;return the  other image ;return zebras in  #5 ;return coloring of #6 ;return #6 where  #7 has a  brown tint ;return number of  #8 ;return if  #9 is equal to  two ;return if  both  #4 and #10 are true,train
ATIS_train_3264,looking for a flight from cleveland to dallas ,return flights ;return #1 from cleveland ;return #2 to  dallas,train
DROP_train_nfl_2477_acab04f7-9606-4105-b194-b95e20426ab0,How many more games had the Steelers lost than won?,return the  Steelers ;return games won of #1 ;return games lost of #1 ;return number of  #2 ;return number of  #3 ;return the  difference of #4 and  #5,train
DROP_train_history_2487_4ef055e9-5bbd-4453-a8a7-3a82ff5742a5,"What happened first, the reign of Queen Victoria, or the First World War?","return reign of Queen Victoria ;return First World War ;return when  was  #1 ;return when  was  #2 ;return which is lowest of #3 ,  #4",train
SPIDER_train_1383,"Give all information regarding instructors, in order of salary from least to greatest.",return instructors ;return salaries of  #1 ;return all information regarding #1 sorted by #2 from least to  greatest,train
CLEVR_train_14555,"What shape is the object that is in the middle of the back, behind the blue sphere?",return objects ;return #1 that  is  in the   middle of the  back ;return sphere ;return #3 that  is  blue ;return #2 behind #4 ;return shape of #5,train
SPIDER_train_5723,What is the average and oldest age for each gender of student?,"return students ;return genders of #1 ;return ages of #2 ;return average of #3 for each  #2 ;return highest of #3 for each  #2 ;return #4 ,  #5",train
ATIS_train_4247,what is the meaning of fare code qx and qw ,"return fare codes ;return #1 which  are qx ;return #1 which  are qw ;return #2 , #3 ;return the meaning of #4",train
CLEVR_train_16654,Are there an equal amount of purple to blue things?,return purple things ;return blue things ;return number of #1 ;return number of #2 ;return is  #3 equal to  #4,train
DROP_train_nfl_3022_711f2891-460a-45cf-b691-38c6ccb52dda,Who put the first points up?,return points ;return who  put up #1 ;return the  first of #2,train
NLVR2_train_train-12933-2-0,If the left image shows many shoes arranged in rows on shelves.,return left image ;return shoes in  #1 ;return #2 that are arranged in  rows ;return shelves in  #1 ;return #3 that are on #4 ;return number of  #5 ;return if  #6 is at least two,train
CLEVR_train_4296,Is there a square thing that is bigger than other square things?,return square  things ;return sizes of #1 ;return number of  #2 ;return if #3 is more than one,train
CLEVR_train_11753,Does the purple cylinder and the red sphere share the same material?,return purple cylinder ;return red sphere ;return material of #1 ;return material of #2 ;return if #3 is the  same as #4,train
SPIDER_train_2898,What is the last name of the author that has published the most papers?,return authors ;return papers #1 published ;return number of  #2 for each  #1 ;return #1 where #3 is  highest ;return last name of  #4,train
CLEVR_train_5099,How many objects are small and yellow?,return objects ;return #1 that  are small ;return #2 that  are yellow ;return the  number of #3,train
DROP_train_nfl_2993_6409a8e5-5df3-4ac1-b487-9b9fc5c55a8d,Who was the Giants coach?,return Giants ;return coach of #1,train
NLVR2_train_train-0-1-0,If one dog is chewing on something.,return dogs ;return #1 that are chewing on something ;return number of  #2 ;return if  #3 is equal to  one,train
CWQ_train_WebQTrn-142_9a43288a2ba3603595ca8acd460b05ae,"Where did C.S. Lewis attend university, that has less than 9,327 of postgraduates?","return universities ;return #1 Where C.S Lewis did attend ;return postgraduates of #2 ;return #2 Where #3 is less than 9,327",train
DROP_train_nfl_2449_7130c3b8-0b69-4221-8f64-a2b61937558d,HOW MUCH STEPHEN GOSTKOWSKI BOOTED A FIELD GOAL,return STEPHEN GOSTKOWSKI ;return FIELD GOAL of #1 ;return number of  #2,train
DROP_train_history_3928_ecc9652c-d4e7-493f-9e96-a72e4d3fe0ad,How many percent higher was the average rate for the entire canton in 2006 compared to the nationwide rate?,return the  entire canton ;return average rate  for #1 ;return #2 in  2006 ;return nationwide rate  ;return difference of #2 and  #4,train
SPIDER_train_4680,What are the full names of the 3 instructors who teach the most courses?,return instructors ;return courses #1 teach ;return number of  #2 for each  #1 ;return #1 where #3 is  highest ;return full names of  #4,train
CLEVR_train_2039,What shape is the furthest back in the photo?,return objects ;return #1 furthest back in the photo ;return shape of #2,train
NLVR2_train_train-3109-2-0,If there are a total of 5 white dogs.,return dogs ;return #1 that are white ;return number of  #2 ;return if  #3 is equal to  5,train
CLEVR_train_456,Is the blue ball in front of the silver cube?,return blue ball ;return silver cube ;return is  #1 in front of #2,train
GEO_train_375,what is the population of oregon ,return oregon ;return population of #1,train
NLVR2_train_train-12779-1-0,If one of the animals is facing towards the left.,return animals ;return #1 that are facing towards the  left ;return number of  #2 ;return if  #3 is equal to  one,train
CLEVR_train_9325,what color is the cylinder,return cylinder ;return color of #1,train
COMQA_train_cluster-1265-5,who was cs lewis wifes name?,return cs lewis ;return wifes of #1 ;return name of #2,train
NLVR2_train_train-5022-1-1,If in the left image cheetahs are laying on a mound of dirt,return cheetahs ;return mound of dirt ;return #1 laying on #2 ;return if  #3 are in  the  left image,train
ATIS_train_3918,what flights from kansas city to chicago arrive at chicago at 7pm next wednesday ,return flights ;return #1 from  kansas city ;return #2 to chicago  ;return #3 that  arrive next wednesday ;return #4 that  arrive at  7pm,train
DROP_train_history_1323_c619a0de-7fe5-416d-9ee2-6dcf6badf9a2,In what year was the Baku Commune established?,return the  Baku Commune was  established ;return year of #1,train
SPIDER_train_937,List the names and the locations that the enzymes can make an effect.,"return enzymes ;return names of  #1 ;return locations #1 can make an effect ;return #2 ,  #3",train
SPIDER_train_842,Count the number of tracks that are part of the rock genre.,return tracks ;return genres of  #1 ;return #1 where #2 is  rock ;return number of  #3,train
ATIS_train_3947,show me all fares between philadelphia and san francisco that are less than 200 dollars one way ,return flights ;return #1 between philadelphia ;return #2 and san francisco ;return fares of #3 ;return #4 that  are lower than 200 dollars ;return #5 that  are one way,train
CLEVR_train_2668,Are there more gold balls than blue balls?,return gold balls ;return blue balls ;return number of #1 ;return number of #2 ;return is  #3 higher than #4,train
CLEVR_train_6599,What is the color of the object to the far left?,return objects ;return #1 that are on the  far left ;return color of #2,train
SPIDER_train_4620,How many premises are there?,return premises ;return number of #1,train
SPIDER_train_2518,Find the average rating star for each movie that received at least 2 ratings.,return movies ;return ratings of #1 ;return number of  #2 for each #1 ;return #1 where #3 is at least 2 ;return rating stars of #4 ;return average of #5 for each #4,train
SPIDER_train_2455,"What are the names of the directors who created a movie with a 5 star rating, and what was the name of those movies?","return movies ;return ratings of #1 ;return #1 where #2 is  5 stars ;return directors of #3 ;return names of #4 ;return names of #3 ;return #5 ,  #6",train
COMQA_train_cluster-39-1,what religion is the major in india today?,return india ;return religion of #1 ;return #2 that is major,train
CLEVR_train_14576,How many shiny purple cubes are there?,return cubes ;return #1 that is shiny ;return #2 that is purple ;return number of  #3,train
NLVR2_train_train-9524-3-0,If there are 5 or more cheetahs.,return cheetahs ;return number of  #1 ;return if  #2 is at least 5,train
NLVR2_train_train-2472-1-0,If one image contains exactly two adult oxen.,return images ;return oxen in  #1 ;return #2 that are adults ;return number of  #3 for each  #1 ;return #1 where  #4 is equal to  two ;return number of  #5 ;return if  #6 is equal to  one,train
DROP_train_nfl_672_36051ef9-b35e-4252-a2a0-b8ccbbb60114,How many games had the New England patriots lost coming into the game?,return the  New England patriots ;return games lost of #1 ;return #2 coming into the  game ;return number of  #3,train
SPIDER_train_6789,Show the ids for all the students who participate in an activity and are under 20.,return students ;return #1 who  participate in activities ;return #2 who  are  under 20 ;return ids of  #3,train
NLVR2_train_train-11851-1-1,"If the left image features a round pizza on a round metal tray, and the right image features a large round pizza in an open cardboard box with a person on the right of it.",return left image  ;return pizza  in  #1 ;return #2 that is round   ;return metal tray ;return #4 that is round   ;return if  #3 is on #5 ;return right  image  ;return pizza  in  #7 ;return #8 that is large ;return #9 that is round   ;return cardboard box ;return #11 that is open ;return #9 in  #12 ;return person ;return if  #14 is to  the  right  of #13 ;return if  both  #6 and #15 are true,train
ATIS_train_114,what northwest flights leave denver before noon ,return flights ;return #1 on  northwest ;return #2 from  denver ;return #3 before noon,train
NLVR2_train_train-8595-2-1,If an image contains a person sitting on a couch.,return person ;return a  couch ;return #1 sitting on #2 ;return if  #3 is  in  an image,train
CLEVR_train_9280,are all the cylinders made out of metal?,return cylinders ;return #1 that  are made out of metal ;return number of  #1 ;return number of  #2 ;return if  #3 and #4 are equal,train
NLVR2_train_train-12351-3-0,If at least one of the sleds is empty.,return sleds ;return #1 that is empty ;return number of  #2 ;return if  #3 is at least one,train
SPIDER_train_4849,"What is each customer's move in date, and the corresponding customer id and details?","return customers ;return move in  dates of #1 ;return customer  ids of #1 ;return details of #1 ;return #2 ,  #3 ,   #4",train
CLEVR_train_12821,What color is the larger ball?,return balls ;return size of #1 ;return #1 where #2 is the  highest ;return color of #3,train
CLEVR_train_11427,What color are two of the squares?,return squares ;return color of two #1,train
CLEVR_train_10816,"In the picture there are two piles, what shape is separated from the other objects?",return piles ;return two #1 In picture ;return shape separated from #2,train
DROP_train_nfl_129_a2770c8c-d2db-438d-ad01-b447003cb531,How many turnovers did Denver force?,return Denver ;return turnovers forced of #1 ;return number of  #2,train
CLEVR_train_7130,What shape is the object is a different shape and size than the other objects?,return objects ;return shapes of #1 ;return sizes of #1 ;return number of  #1 for each #2 ;return number of  #1 for each #3 ;return #2 where #4 is  one ;return #3 where #5 is  one ;return #1 where #2 is  #6 ;return #1 where #3 is  #7 ;return #1 in both #8 and #9 ;return the  shape of #10,train
DROP_train_nfl_433_07ce66d8-e0d7-4d3e-ac9a-fd0c164abd92,how many yards did Leinart complete?,return Leinart ;return yards of #1 ;return sum of #2,train
NLVR2_train_train-318-0-0,If there are at most 5 pandas in the image pair.,return pandas ;return number of  #1 ;return if  #2 is at most 5,train
CLEVR_train_1987,How many small objects are hidden behind a cylinder?,return cylinders ;return objects ;return #2 that  are small ;return #3 that  are hidden behind any  #1 ;return the  number of  #4,train
NLVR2_train_train-1081-0-0,If right image shows a pack of dogs running forward.,return pack of dogs ;return #1 that are running forward ;return if  #2 are in  the  right image,train
CLEVR_train_6507,What color is the object that is next to all three green objects?,return objects ;return #1 that are green ;return object next to all of #2 ;return color of #3,train
DROP_train_history_2052_a10a1933-203b-49a2-acdf-3c8d1ae84269,How many months after the aircraft were delivered to RAF were they test flown at Cunliffe-Owen Aircraft Swaythling?,return the  aircraft were delivered to RAF ;return the  aircraft were test flown at Cunliffe-Owen Aircraft Swaythling ;return month of #1 ;return month of #2 ;return the  difference of #4 and  #3,train
SPIDER_train_350,What is the count of aircrafts that have a distance between 1000 and 5000?,return aircrafts ;return distances of  #1 ;return #1 where #2 is  at least 1000 ;return #1 where #2 is  at most 5000 ;return #1 of  both #3 and  #4 ;return number of  #5,train
SPIDER_train_1119,Count the number of different countries that climbers are from.,return climbers ;return countries of #1 ;return different #2 ;return number of  #3,train
ATIS_train_854,does any airline have an afternoon flight from boston to oakland ,return flights ;return #1 from  boston ;return #2 to oakland ;return #3 in the afternoon ;return are there  any  #4,train
CWQ_train_WebQTrn-1928_e56e856592a9a57b9e331b718adc1b75,"At which university did the author of ""The Audacity of Hope"" earn his bachelor's degree?",return The Audacity of Hope ;return author of #1 ;return university of #2,train
CLEVR_train_7492,How many metallic cubes are not purple?,return cubes ;return #1 that are metallic ;return #2 that are purple ;return #2 besides  #3 ;return number of  #4,train
ACADEMIC_train_65,return me the paper in VLDB conference with more than 200 citations . ,return papers ;return #1 in VLDB conference ;return citations of  #2 ;return the  number of  #3 for each #2 ;return #2 where #4 is  more than 200,train
NLVR2_train_train-605-1-0,If at least one of the animals is standing on a boulder in one of the images.,return animals ;return boulder ;return #1 standing on #2 ;return images of #3 ;return number of  #3 for each  #4 ;return #4 where  #5 is at least one ;return number of  #6 ;return if  #7 is equal to  one,train
NLVR2_train_train-10970-2-1,If an image includes a woman wearing red top and stars-and-stripes bottoms.,return woman ;return top ;return #2 that is red ;return bottoms ;return #4 that have stars-and-stripes ;return #1 wearing #3 ;return #1 wearing #5 ;return #1 in  both  #6 and #7 ;return if  #8 is in  an image,train
CLEVR_train_6334,How many objects are yellow and nonmetallic?,return objects ;return #1 that are yellow ;return #2 that are nonmetallic ;return number of  #3,train
NLVR2_train_train-4459-0-1,If there are two llamas in the left image and one llama in the right image.,return left image  ;return right image  ;return llamas of #1 ;return llamas of #2 ;return the  number of  #3 ;return the  number of  #4 ;return if  #5 is equal to  two ;return if  #6 is equal to  one ;return if  both  #7 and #8 are true,train
DROP_train_nfl_1221_599fbbc6-d234-4917-aff5-98ab200767cf,How many points did the Chargers score during the first quarter?,return the  Chargers ;return points of #1 ;return #2 in  the  first quarter ;return sum of #3,train
CWQ_train_WebQTrn-2392_11447ab872cf4327f21e10d51c7b50c2,"In the governmental jurisdiction in which the government includes the position entitled Mayor of Denver, to what airport does Southwest fly?",return the  position entitled Mayor of Denver ;return government of #1 ;return governmental jurisdiction of #2 ;return airports of #3 ;return #4 that Southwest flies to,train
ATIS_train_122,i need to make reservations from denver to boston ,return reservations ;return #1 from  denver ;return #2 to boston,train
ATIS_train_4035,what is the earliest flight from boston to san francisco ,return flights ;return #1 from boston ;return #2 to  san francisco ;return #3 that  is  the  earliest,train
SPIDER_train_2609,How many rooms have a king bed?,return rooms ;return #1 that  have  a king bed ;return number of  #2,train
SPIDER_train_3443,"display job Title, the difference between minimum and maximum salaries for those jobs which max salary within the range 12000 to 18000.","return jobs ;return the max salary for each #1 ;return #1 where #2 is  within the range 12000 to 18000 ;return the minimum salary of #3 ;return the maximum salary of #3 ;return the difference of #4 and #5 ;return the job Title of #3 ;return #6 , #7",train
DROP_train_history_960_9c34725f-a22d-47f3-8c28-89cfc294dffc,HOw many is the number of years from when Nobutsunu was born to when he was adopted?,return Nobutsunu was  born ;return he was  adopted ;return when  was  #1 ;return when  was  #2 ;return difference of #4 and  #3 in  years,train
NLVR2_train_train-957-0-0,If both of the cases is opened to reveal their items.,return cases ;return #1 that are opened ;return items of #2 ;return #2 that reveal #3 ;return number of  #4 ;return if  #5 is equal to  two,train
DROP_train_nfl_2377_de40ab89-9365-4b4b-8d2b-9d67af3d4b4b,Which player scored the first touchdown for the Browns?,return the  Browns ;return touchdowns of #1 ;return the  first of #2 ;return player that scored #3,train
CLEVR_train_13850,what is the color of the object partially blocking the small purple cylinder?,return cylinders ;return #1 that  are small ;return #2 that  are purple ;return objects ;return #4 that  are partially blocking the   #3 ;return color of #5,train
CLEVR_train_12328,Are there an equal amounts of boxes to sphere,return boxes ;return spheres ;return number of  #1 ;return number of  #2 ;return if #3 is equal to #4,train
CLEVR_train_9943,What is the shape of the item that is not a cylinder?,return item ;return #1 that  is  not a cylinder ;return shape of #2,train
SPIDER_train_3244,What are the first names of all students in course ACCT-211?,return students ;return courses of  #1 ;return #1 where #2 is  ACCT-211 ;return first names of  #3,train
NLVR2_train_train-7454-2-0,If no more than two dogs are visible.,return dogs ;return number of  #1 ;return if  #2 is at most two,train
SPIDER_train_1706,Find the name of the user who gives the most reviews.,return users ;return reviews ;return number of #2 for each #1 ;return #1 where  #3 is  highest ;return name of  #4,train
SPIDER_train_3242,What are the total number of students enrolled in ACCT-211?,return students ;return #1 enrolled in ACCT-211 ;return number of  #2,train
CLEVR_train_2444,What type of surface does the larger blue cube have?,return cubes ;return #1 that are blue ;return size of #2 ;return #2 where #3 is highest ;return type of surface of  #4,train
CLEVR_train_537,How many shiny things are round spheres?,return shiny things ;return #1 that are round ;return #2 that are spheres ;return #1 in  both #2 and  #3 ;return number of  #4,train
CLEVR_train_10502,How many objects are red rubber things and purple spheres?,return objects ;return #1 that  are red ;return #2 that  are rubber ;return #1 that  are purple ;return #4 that  are spheres ;return number of #3 ;return number of #5 ;return sum of #6 and #7,train
NLVR2_train_train-6555-0-0,If a dog in one image is photographed while in mid-air.,return dog ;return #1 that is in  mid-air ;return if  #2 is in  one image,train
SPIDER_train_265,Return the most frequent result across all musicals.,return results ;return musicals with  #1 ;return number of  #2 for each #1 ;return #1 where #3 is  highest,train
CWQ_train_WebQTest-1698_2a3c4609335661034b13c77b67efb7ac,In which country with an army of 200000 did Burmese cats orginate?,return Burmese cats ;return countries orginate in  of #1 ;return armies of #2 ;return size of #3 ;return #2 where #4 is equal to 200000,train
NLVR2_train_train-10082-0-0,If an image includes a baby gorilla with at least one adult gorilla.,return gorilla  ;return #1 that is a  baby ;return #1 that are adults ;return #2 with #3 ;return number of  #3 for each  #4 ;return #4 where  #5 is at least one ;return if  #6 is in  an image,train
CLEVR_train_14302,is the gold cube the same material as the largest ball?,return gold cube ;return largest ball ;return material of #1 ;return material of #2 ;return is  #3 the   same as #4,train
SPIDER_train_4486,What are the names and countries of members?,"return members ;return names of  #1 ;return countries of  #1 ;return #2 ,  #3",train
SPIDER_train_1865,How many eliminations did each team have?,return teams ;return eliminations of  #1 ;return number of #2 for each #1,train
SPIDER_train_6345,Return the name of the organization which has the most contact individuals.,return organizations ;return contact individuals of #1 ;return number of  #2 for each #1 ;return #1 where #3 is highest ;return name of #4,train
NLVR2_train_train-8249-2-1,If there is only one person in one of the images.,return person ;return images ;return number of  #1 for each  #2 ;return #2 where  #3 is equal to  one ;return number of  #4 ;return if  #5 is equal to  one,train
SPIDER_train_2541,What are the crime rates of counties sorted by number of offices ascending?,return counties ;return crime rates of  #1 ;return offices of  #1 ;return number of  #3 for each  #1 ;return #2 sorted by #4 ascending,train
ATIS_train_1864,flights from newark to cleveland daily 5 o'clock pm ,return flights ;return #1 from newark ;return #2 to  cleveland ;return #3 that  is  daily ;return #4 on 5 o'clock pm,train
NLVR2_train_train-4197-2-0,If at least one of the flowers is a rose.,return rose ;return number of  #1 ;return if  #2 is at least one,train
COMQA_train_cluster-1874-1,what is the population of las vegas 2010?,return las vegas ;return #1 in  2010 ;return the  population of #2,train
SPIDER_train_4522,What are the usernames and passwords of users that have the most common role?,"return roles ;return users of #1 ;return number of  #2 for each #1 ;return #1 where #3 is  highest ;return users of #4 ;return usernames of #5 ;return passwords of #5 ;return #6 ,  #7",train
NLVR2_train_train-7803-0-0,If an image shows a man holding out some type of stick while standing on a green field behind ducks.,return man ;return stick ;return #1 holding out #2 ;return field ;return #4 that is green ;return #3 standing on #5 ;return ducks ;return #6 behind #7 ;return if  #8 is in  an image,train
SPIDER_train_1842,Find the number of web accelerators used for each Operating system.,return web accelerators ;return Operating systems ;return number of  #1 used for each #2,train
NLVR2_train_train-8248-1-0,"If the right and left images contain human figures made out of balloons, and one image includes a blond balloon woman wearing a pink skirt.",return human figures ;return balloons ;return #1 made out of #2 ;return if  #3 are in  the  right image ;return if  #3 are in  the  left image ;return if  both  #4 and #5 are true ;return balloon woman ;return #7 that  is blond ;return skirt ;return #9 that  is pink ;return #8 wearing #10 ;return if  #11 is in  one image ;return if  both  #6 and #12 are true,train
CLEVR_train_6728,how many red items are there? ,return red items ;return number of #1,train
NLVR2_train_train-7005-0-0,If in one image there is an adult monkey holding onto food with a young monkey nearby.,return monkeys ;return #1 that is adult ;return #1 that is young ;return food ;return #2 that is holding onto #4 ;return #5 that is with #3 nearby ;return if  #6 is in  one image,train
CLEVR_train_10901,What shape is the large object that doesn't match the other large shapes?,return object ;return #1 that  is  large ;return shape of #2 ;return number of  #2 for each #3 ;return #3 where #4 is  one,train
SPIDER_train_2168,What is the id and last name of the driver with the longest laptime?,"return drivers ;return laptimes of  #1 ;return #1 where #2 is  longest ;return id of  #3 ;return last name of  #3 ;return #4 ,  #5",train
SPIDER_train_1620,How many distinct order ids correspond to each product?,return products ;return order ids of  #1 ;return distinct #2 ;return number of #3 for each #1,train
CLEVR_train_3337,Is the photo symmetrical?,return the  photo ;return if  #1 is  symmetrical,train
NLVR2_train_train-8569-0-1,If there are no more than 4 guinea pigs.,return guinea pigs ;return the  number of  #1 ;return if  #2 is at most 4,train
DROP_train_history_1368_f294ce5b-b22b-475e-a4e6-185e7c18c5f0,How many merks did David II pay total?,return David II ;return merks pay of #1 ;return sum of #2,train
CLEVR_train_9723,What color is the object hidden by a shiny object?,return shiny object  ;return objects besides #1 ;return #2 hidden by #1 ;return color of #3,train
NLVR2_train_train-7411-1-1,If there are no more than two stingrays.,return stingrays ;return number of  #1 ;return if  #2 is at most two,train
CLEVR_train_372,What shape is there more of than other shapes?,return objects ;return shape of #1 ;return number of  #1 for each #2 ;return #2 where #3 is the  highest,train
ATIS_train_1816,what ground transportation is available from the denver airport to downtown denver ,return ground transportation ;return #1 from denver  airport ;return #2 to  downtown denver,train
CLEVR_train_17208,What is the shape of the four similar shaped objects?,return the objects ;return four of #1 that  are similar shaped ;return the shape of #2,train
COMQA_train_cluster-1710-1,sta rosa laguna posatl code and city?,"return sta rosa laguna ;return posatl code of #1 ;return city of #1 ;return #2 , #3",train
SPIDER_train_1853,Give the names and locations of all wrestlers.,"return wrestlers ;return the  names of  #1 ;return the  locations of  #1 ;return #2 ,  #3",train
SPIDER_train_597,What is employee Nancy Edwards's phone number?,return employee Nancy Edwards ;return phone number of  #1,train
CLEVR_train_7684,"Are there any small, red objects?",return objects ;return #1 that  are small ;return are there  any #2 that  are  red,train
NLVR2_train_train-11199-0-0,"If in the image to the left, we see three kittens; the young of big cat breeds.",return left image ;return kittens in  #1 ;return #2 that are the  young of big cat breeds ;return number of  #3 ;return if  #4 is equal to  three,train
GEO_train_531,where is the lowest point in the us ,return us ;return points in #1 ;return lowest #2,train
SPIDER_train_6543,What are the names and scores of wines that are made of white color grapes?,"return wines ;return grapes that  #1 are made of ;return the  color of #2 ;return #1 where #3 is  white ;return names of #4 ;return scores of #4 ;return #5 ,  #6",train
DROP_train_history_709_81017146-7738-44ef-a10e-6f1a6de610fe,"Which book contains the earliest letters, Fear and Loathing in America or The Proud Highway?","return Fear and  Loathing in  America ;return The Proud Highway ;return letters of #1 ;return letters of #2 ;return when  was  #3 ;return when  was  #4 ;return which is the  lowest of #5 ,  #6",train
SPIDER_train_4861,Count the number of schools.,return schools ;return number of #1,train
CLEVR_train_11423,what color is the cylinder?,return the  cylinder ;return color of #1,train
SPIDER_train_6110,Give me the name of the customer who ordered the most items in total.,return customers ;return items ordered of  #1 ;return number of #2 for each #1 ;return #1 where  #3 is  highest ;return name of  #4,train
CLEVR_train_16118,The shiny gray cylinder has which object prominently reflected onto its surface?,return cylinders ;return #1 that  are gray ;return #2 that  are shiny ;return objects ;return #4 that  are prominently reflected onto the  surface of #2,train
SPIDER_train_5796,Which complaint status has more than 3 records on file?,return complaint statuses ;return records of #1 ;return number of  #2 for each #1 ;return #1 where #3 is  higher than 3,train
CLEVR_train_6619,There is a gold sphere; is it the same size as the sphere on the other side of the purple cube?,return gold sphere ;return purple cube ;return sphere on  the    other side of #2 ;return size of #1 ;return size of #3 ;return is  #4 the    same as #5,train
CLEVR_train_10930,There is a shiny object behind the gray metallic cylinder; what shape is it?,return the  gray metallic cylinder ;return objects behind of #1 ;return #2 that are shiny ;return shape of #3,train
CWQ_train_WebQTrn-3122_2b191a52aba771c6c8ea676fadf7b51e,What kind of guitar is played by the lyracist who wrote Second Hand News?,return Second Hand News ;return lyracist who  wrote #1 ;return kind of guitar played by #2,train
NLVR2_train_train-3761-1-0,If one or more large flat fish is interacting with one or more people.,return flat fish ;return #1 that are large ;return people ;return #2 that are interacting with #3 ;return number of  #4 ;return if  #5 is at least one,train
COMQA_train_cluster-1179-5,what is the sea that borders egypt and saudi arabia?,return egypt ;return saudi arabia ;return sea that borders #1 ;return sea that borders #2 ;return sea in  both  #3 and #4,train
DROP_train_nfl_466_3a64780f-d3db-453c-a30d-cce7308edbbb,How many field goals did Matt Stover make?,return Matt Stover ;return field goals of #1 ;return number of  #2,train
DROP_train_history_2918_918f3477-6744-4a33-82e0-4c7ea8a7cd4a,"Did Japan import more from China or from the United States, Australia, and South Korea combined?","return Japan ;return import of #1 ;return #2 from  China ;return #2 from  the  United States ;return #2 from  Australia ;return #2 from  South Korea ;return number of  #3 ;return number of  #4 ;return number of  #5 ;return number of  #6 ;return sum of #8 ,  #9 ,   #10 ;return which is the  highest of #7 ,  #11",train
COMQA_train_cluster-844-3,who was the winner of the world series in 1994?,return the  world series in  1994 ;return winner of #1,train
DROP_train_nfl_2144_e36cc446-10f9-4a9b-856e-bb0838c39b7a,How many yards was Gano's longest field goal?,return Gano ;return field goals of #1 ;return longest of #2 ;return yards of #3,train
CLEVR_train_5760,what color is the sphere in the front?,return spheres ;return #1 that is in  the front ;return color of  #2,train
NLVR2_train_train-2736-1-0,If there is at least one person in one of the pictures.,return pictures ;return people in  #1 ;return number of  #2 for each  #1 ;return #1 where  #3 is at least one ;return number of  #4 ;return if  #5 is equal to  one,train
ACADEMIC_train_166,"return me the author who has the most number of papers containing keyword "" Relational Database "" . ",return authors ;return papers of #1 ;return keywords of #2 ;return #2 where #3 is  Relational Database ;return number of  #4 for each #1 ;return #1 where #5 is  highest,train
SPIDER_train_4312,"List the clubs that have at least a member with advisor ""1121"".",return clubs ;return members of  #1 ;return advisors of  #2 ;return #1 where  #3 is 1121,train
DROP_train_history_77_7675d956-7c1f-44e9-84c0-8dc0a2565518,By how many million dollars did the abductors raise the ransom after they killed Ridsdel?,return the  abductors ;return ransoms in  millions of dollars of  #1 ;return #2 after they killed Ridsdel ;return the  difference of #3 and  #2,train
NLVR2_train_train-3284-3-1,If there are books with the flowers.,return books ;return flowers ;return if  #1 are with #2,train
NLVR2_train_train-4490-2-0,If there is one open binder in the right image.,return right image ;return binders of #1 ;return #2 that are open ;return the  number of  #3 ;return if  #4 is equal to  one,train
NLVR2_train_train-12741-2-0,If two birds sit on a branch in the image on the right.,return right image ;return birds of #1 ;return branch of #1 ;return #2 that sit on #3 ;return the  number of  #4 ;return if  #5 is equal to  two,train
COMQA_train_cluster-3536-1,who did chris perez remarry after selenas death?,return chris perez ;return selenas ;return the  death of #2 ;return who  did  #1 remarry ;return #4 after #3,train
ATIS_train_3809,show me the flights that go from san diego to newark with one stop in houston ,return flights ;return #1 from  san diego ;return #2 to newark ;return #3 with  one stop in houston,train
NLVR2_train_train-12395-1-0,"If in one image, the top is on the black tub, and in the other it is off, revealing a white cream inside",return tub ;return #1 that is black ;return top of #2 ;return #2 where  #3 is on ;return if  #4 is in  one image ;return #2 where  #3 is off ;return inside of #2 ;return #6 where  #7 is cream ;return if  #8 is in  the  other image ;return if  both  #5 and #9 are true,train
COMQA_train_cluster-1793-1,what religion is david clayton henrie?,return david clayton henrie ;return religion of #1,train
COMQA_train_cluster-1186-1,how many years did woodrow wilson serve as president?,return woodrow wilson serves as president ;return years of #1 ;return number of  #2,train
SPIDER_train_1195,Count the total number of apartment bookings.,return apartment bookings ;return number of #1,train
